,rok,posel,okreg,klub,lista,partia
0,1947,Edward Abramowicz,Radom,ZPPS,,
1,1947,Leon Adamowski,Ełk,SD,,
2,1947,Ludwik Affa,Opole,ZPPS,,
3,1947,Eugeniusz Ajnenkiel,Wrocław,ZPPS,,
4,1947,Jerzy Albrecht,,PPR,,
5,1947,Antoni Alster,Bydgoszcz,PPR,,
6,1947,Marek Ferdynand Arczyński,,SD,,
7,1947,Józef Augustyn,,SL,,
8,1947,Jan Baczewski,Szczecin,SL,,
9,1947,Antoni Bajkowski,Bolesławiec,SL,,
10,1947,Kazimierz Banach,Gdańsk,PSL-L,,
11,1947,Władysław Banaczyk,Poznań,PSL,,
12,1947,Stefan Bancerz,,PPR,,
13,1947,Stanisław Bańczyk,Piotrków Trybunalski,PSL,,
14,1947,Feliks Baranowski,Lublin,ZPPS,,
15,1947,Wincenty Baranowski,Pabianice,SL,,
16,1947,Wacław Barcikowski,Rzeszów,SD,,
17,1947,Marian Baryła,Przemyśl,PPR,,
18,1947,Józef Beluch-Beloński,Siedlce,ZPPS,,
19,1947,Stanisław Beniger,Warszawa,SD,,
20,1947,Jakub Berman,,PPR,,
21,1947,Bronisław Bęben,Przemyśl,ZPPS,,
22,1947,Stanisław Bieniek,Lublin,PPR,,
23,1947,Aleksy Bień,Będzin,ZPPS,,
24,1947,Józef Bień,Lublin,PPR,,
25,1947,Witold Bieńkowski,Siedlce,Katolicko-Społeczny,,
26,1947,Władysław Bieńkowski,Poznań,PPR,,
27,1947,Antoni Bigus,Gdynia,PPR,,
28,1947,Józef Blak,Myśliwice,SL,,
29,1947,Franciszek Blinowski,Toruń,PPR,,
30,1947,Czesław Bobrowski,,ZPPS,,
31,1947,Aleksander Bocheński,Kraków,Katolicko-Społeczny,,
32,1947,Mieczysław Bodalski,Białystok,PPR,,
33,1947,Stanisław Bońka,Kalisz,SL,,
34,1947,Marian Borowiec,Gorlice,SL,,
35,1947,Romana Bosiakowa,Bydgoszcz,PPR,,
36,1947,Arkadiusz Bożek,Koźle,SL,,
37,1947,Henryk Bromboszcz,Chrzanów,ZPPS,,
38,1947,Wincenty Bryja,Warszawa,PSL,,
39,1947,Stefan Brzeziński,Poznań,SP,,
40,1947,Michał Buczek,Pabianice,SL,,
41,1947,Jan Burdzy,Rzeszów,PPR,,
42,1947,Aleksander Burski,Piotrków Trybunalski,PPR,,
43,1947,Stefan Cendrowski,Olsztyn,ZPPS,,
44,1947,Józef Chaba,Kielce,SL,,
45,1947,Kazimierz Chabaj,Rzeszów,ZPPS,,
46,1947,Paweł Chadaj,Chełm,PSL,,
47,1947,Leon Chajn,,SD,,
48,1947,Hilary Chełchowski,,PPR,,
49,1947,Kazimierz Chodkiewicz,Lublin,ZPPS,,
50,1947,Hanna Chorążyna,,PSL,,
51,1947,Piotr Chwaliński,Pabianice,PSL,,
52,1947,Stanisław Cieślak,,SL,,
53,1947,Adolf Cieślik,Będzin,PPR,,
54,1947,Józef Cyrankiewicz,Będzin,ZPPS,,
55,1947,Eugeniusz Czechowicz,Opole,SD,,
56,1947,Marian Czerwiński,Chrzanów,PPR,,
57,1947,Kazimierz Czyżowski,Piotrków Trybunalski,SD,,
58,1947,Tadeusz Ćwik,Pruszków,ZPPS,,
59,1947,Mikołaj Dachów,Przemyśl,SL,,
60,1947,Jan Dąb-Kocioł,Zgierz,SL,,
61,1947,Adolf Dąb,Zamość,ZPPS,,
62,1947,Paweł Dąbek,Zamość,PPR,,
63,1947,Henryk Dąbrowicz,Szczecinek,PPR,,
64,1947,Jan Dąbrowski,Katowice,ZPPS,,
65,1947,Konstanty Dąbrowski,,ZPPS,,
66,1947,Stefan Dąbrowski,Gliwice,SL,,
67,1947,Józef Dechnik,Zamość,PPR,,
68,1947,Tadeusz Dietrich,Koźle,ZPPS,,
69,1947,Stanisław Dobosz,Łódź,bezp.,,
70,1947,Henryk Dobrowolski,Chrzanów,PPR,,
71,1947,Hieronim Dobrowolski,Przasnysz,ZPPS,,
72,1947,Stanisław Dobrowolski,,ZPPS,,
73,1947,Edward Dobruś,Piotrków Trybunalski,ZPPS,,
74,1947,Jan Domański,Włocławek,SL,,
75,1947,Jerzy Domiński,,SP,,
76,1947,Adam Drąg,Przemyśl,SL,,
77,1947,Jerzy Jan Drewnowski,Legnica,SL,,
78,1947,Bolesław Drobner,Kraków,ZPPS,,
79,1947,Bronisław Drzewiecki,Piotrków Trybunalski,PSL-NW,,
80,1947,Józef Dubiel,Katowice,PPR,,
81,1947,Stanisław Duniak,Łódź,ZPPS,,
82,1947,Lucjusz Dura,Olsztyn,SL,,
83,1947,Władysław Dworakowski,Gdynia,PPR,,
84,1947,Stefan Dybowski,Białystok,SL,,
85,1947,Henryk Dzendzel,Tarnów,SL,,
86,1947,Wiesław Fijałkowski,Szczecinek,SD,,
87,1947,Piotr Flacht,Chrzanów,ZPPS,,
88,1947,Franciszek Formas,Białystok,ZPPS,,
89,1947,Jan Frankowski,Ostrowiec,Katolicko-Społeczny,,
90,1947,Henryk Gacki,Ostrowiec,ZPPS,,
91,1947,Stanisław Gać,Przasnysz,PPR,,
92,1947,Piotr Gajewski,Warszawa,ZPPS,,
93,1947,Antoni Galiński,Bolesławiec,PPR,,
94,1947,Kazimierz Gallas,Pabianice,SD,,
95,1947,Jan Garncarczyk,Myślenice,SL,,
96,1947,Wilhelm Garncarczyk,Ostrowiec,SL,,
97,1947,Stanisława Garncarczykowa,,SL,,
98,1947,Piotr Gellert,Świebodzin,ZPPS,,
99,1947,Roman Gesing,Rzeszów,PSL,,
100,1947,Lucjan Głowacki,Zgierz,ZPPS,,
101,1947,Wiesław Gomułka,Wrocław,PPR,,
102,1947,Alfred Górny,Bolesławiec,ZPPS,,
103,1947,Czesław Grajek,Leszno,ZPPS,,
104,1947,Jan Gronkiewicz,Częstochowa,ZPPS,,
105,1947,Ludwik Grosfeld,Szczecin,ZPPS,,
106,1947,Stanisław Gross,Pruszków,ZPPS,,
107,1947,Kazimierz Groszyński,Łódź,SP,,
108,1947,Jan Grubecki,Płońsk,SL,,
109,1947,Józef Grzecznarowski,Radom,ZPPS,,
110,1947,Wacław Gumiński,Biskupiec,PPR,,
111,1947,Leszek Guzicki,Przasnysz,SD,,
112,1947,Michał Gwiazdowicz,Płońsk,SL,,
113,1947,Alfons Gwis,Koźle,SL,,
114,1947,Stanisław Hałas,Katowice,SD,,
115,1947,Emilia Hiżowa,,SD,,
116,1947,Julian Hochfeld,Legnica,ZPPS,,
117,1947,Andrzej Ignatowski,Ostrowiec,SP,,
118,1947,Jan Izydorczyk,Leszno,PPR,,
119,1947,Henryk Jabłoński,,ZPPS,,
120,1947,Andrzej Jacak,Bielsko,ZPPS,,
121,1947,Kazimierz Jachowicz,Toruń,SL,,
122,1947,Stanisław Jagiełło,Częstochowa,PSL,,
123,1947,Władysław Jagiełło,Warszawa,ZPPS,,
124,1947,Stanisław Jagusz,Siedlce,PSL,,
125,1947,Leon Jankowski,Gdańsk,SL,,
126,1947,Stanisław Janusz,,SL,,
127,1947,Stanisław Jaremczuk,Świebodzin,SL,,
128,1947,Feliks Jarosz,Katowice,ZPPS,,
129,1947,Stefan Jaroszek,Wrocław,SL,,
130,1947,Piotr Jaroszewicz,,PPR,,
131,1947,Andrzej Jasiuk,Myślenice,ZPPS,,
132,1947,Maria Jaszczukowa,Kalisz,SD,,
133,1947,Helena Jaworska,Szczecin,PPR,,
134,1947,Marian Jaworski,Pruszków,PPR,,
135,1947,Emil Jerzyk,Gorlice,ZPPS,,
136,1947,Stefan Jędrychowski,Gdańsk,PPR,,
137,1947,Jerzy Jodłowski,Łódź,SD,,
138,1947,Wacław Jonsik,Kalisz,SD,,
139,1947,Franciszek Witold Jóźwiak,Chełm,PPR,,
140,1947,Albin Jura,Chrzanów,SD,,
141,1947,Jan Jurek,Katowice,SL,,
142,1947,Stanisław Jurkowski,Mińsk Mazowiecki,SL,,
143,1947,Aleksander Juszkiewicz,Bielsko,SL,,
144,1947,Józef Aleksander Kaczocha,,SL,,
145,1947,Michał Kaczorowski,,ZPPS,,
146,1947,Stanisław Kaliszewski,Chełm,SD,,
147,1947,Franciszek Kamiński,,PSL,,
148,1947,Artur Karaczewski,Łódź,ZPPS,,
149,1947,Jan Karbowiak,Łódź,ZPPS,,
150,1947,Stanisław Karpała,Kalisz,SL,,
151,1947,Józef Kaźmierczak,Kielce,ZPPS,,
152,1947,Wincenty Kępczyński,Płońsk,ZPPS,,
153,1947,Władysław Kiernik,,PSL,,
154,1947,Józef Kieszczyński,Gliwice,PPR,,
155,1947,Jan Kisiel,Pruszków,SL,,
156,1947,Marian Kisiel,Opole,SL,,
157,1947,Adolf Kita,Leszno,SL,,
158,1947,Jan Klecha,Chełm,PPR,,
159,1947,Zenon Kliszko,,PPR,,
160,1947,Bronisław Kloc,Koźle,PSL-NW,,
161,1947,Wiktor Kłosiewicz,Łobez,PPR,,
162,1947,Dorota Kłuszyńska,Gniezno,ZPPS,,
163,1947,Jan Koj,Opole,bezp.,,
164,1947,Tomasz Kołakowski,Gdańsk,SP,,
165,1947,Antoni Kołodziej,Gdynia,PPR,,
166,1947,Henryk Kołodziejczyk,Koźle,SL,,
167,1947,Henryk Kołodziejski,,bezp.,,
168,1947,Tadeusz Koral,Olsztyn,ZPPS,,
169,1947,Stefan Korboński,Warszawa,PSL,,
170,1947,Leon Korga,Gorlice,PPR,,
171,1947,Antoni Korzycki,,SL,,
172,1947,Piotr Koss,Gdynia,ZPPS,,
173,1947,Władysław Kosydarski,Łobez,PSL-NW,,
174,1947,Stanisław Kotek-Agroszewski,Mińsk Mazowiecki,SL,,
175,1947,Stanisław Koter,Białystok,PSL-L,,
176,1947,Stanisław Kowalczyk,Myślenice,ZPPS,,
177,1947,Stanisław Kowalewski,Chełm,ZPPS,,
178,1947,Władysław Kowalik,Bolesławiec,SL,,
179,1947,Aleksander Kowalski,Koźle,PPR,,
180,1947,Jan Kowalski,Kalisz,ZPPS,,
181,1947,Władysław Kowalski,,SL,,
182,1947,Bogusław Kożusznik,Bieslko,ZPPS,,
183,1947,Jakub Krajewski,Płońsk,PPR,,
184,1947,Józef Kramarz,Chrzanów,PPR,,
185,1947,Eugenia Krassowska,Szczecin,SD,,
186,1947,Jan Krochmal,Rzeszów,SL,,
187,1947,Franciczek Król,Włocławek,PPR,,
188,1947,Jan Aleksander Król,Białystok,SL,,
189,1947,Leon Kruczkowski,,PPR,,
190,1947,Alfred Krygier,,ZPPS,,
191,1947,Andrzej Krzewniak,Białystok,ZPPS,,
192,1947,Adam Krzyżanowski,Kraków,SD,,
193,1947,Julian Kubiak,Białystok,PPR,,
194,1947,Aleksander Marian Kubicki,Częstochowa,SL,,
195,1947,Władysław Kuczewski,Gliwice,PPR,,
196,1947,Stanisław Kulczyński,Wrocław,SD,,
197,1947,Jan Kulisiewicz,Pruszków,SL,,
198,1947,Jan Kulka,Piotrków Trybunalski,SL,,
199,1947,Bronisław Kupczyński,Koźle,PPR,,
200,1947,Władysław Kurkiewicz,Opole,SL,,
201,1947,Eustachy Kuroczko,Legnica,PPR,,
202,1947,Karol Kurpiewski,Mińsk Mazowiecki,SL,,
203,1947,Adam Kuryłowicz,Katowice,ZPPS,,
204,1947,Gwidon Jan Kurzela,Włocławek,ZPPS,,
205,1947,Eugeniusz Kuszko,Myślenice,bezp.,,
206,1947,Maria Kuzańska-Obrączkowa,Łobez,ZPPS,,
207,1947,Eugeniusz Kwiatkowski,,bezp.,,
208,1947,Stanisław Kwiatkowski,Świebodzin,ZPPS,,
209,1947,Wiktor Labus,Katowice,PPR,,
210,1947,Oskar Lange,,ZPPS,,
211,1947,Antoni Langer,Gdynia,SL,,
212,1947,Stanisław Laskowski,Pruszków,PSL,,
213,1947,Włodzimierz Lechowicz,Gdynia,SD,,
214,1947,Stanisław Leszczycki,Poznań,ZPPS,,
215,1947,Józef Leś,Tarnów,PSL,,
216,1947,Jan Lewandowicz,Legnica,SL,,
217,1947,Pelagia Lewińska,Łobez,PPR,,
218,1947,Marian Lityński,Wrocław,SP,,
219,1947,Ignacy Loga-Sowiński,Łódź,PPR,,
220,1947,Henryk Lukrec,,SD,,
221,1947,Józef Łabuz,Tarnów,PPR,,
