embedding,n_neighbors,min_cluster_size,min_samples,topics_num,not_found,support,c_v,u_mass,c_su,c_cu
sbert-default,5,10,10,1896,185944,None,None,None,0.3431220219598094,0.612756040062805
sbert-default,5,20,10,971,37618,92994,0.39334856878715785,-1.4925285138127469,0.33383769243701517,0.6153957174346594
sbert-default,5,20,20,652,37664,82498,0.39115328687337636,-1.3148604954535683,0.3140794223826715,0.6048638705244154
sbert-default,5,50,10,374,36510,76900,0.37952239024894757,-1.0036179985489841,0.3087849084520067,0.5819793205317577
sbert-default,5,50,25,282,35409,71113,0.39695291813561595,-0.9255211582640142,0.32886209738675115,0.5656062573814657
sbert-default,5,50,50,222,36598,68153,0.40743658481627604,-0.8570882249297397,0.33130563798219587,0.5868389286906082
sbert-default,5,100,1,300,34016,72336,0.3765986961727815,-0.8314971310135619,0.3129351155666945,0.5436226201829677
sbert-default,5,100,10,197,36286,66161,0.37756964629383705,-0.797834564021845,0.3004313455631829,0.5704279636828794
sbert-default,5,100,50,154,35934,63831,0.3765048962062227,-0.7364120693347128,0.3271880189433545,0.5728764617334487
sbert-default,5,100,100,119,34490,62166,0.3767112623248437,-0.6350959135378766,0.3128163995213738,0.5404289329958705
sbert-default,10,10,10,922,38732,81462,0.41260140816779933,-1.4389081835643054,0.36275771919748073,0.6347148659826907
sbert-default,10,20,10,503,37566,76326,0.40651180630180545,-1.1866589838452146,0.34613099398853625,0.6066053631678849
sbert-default,10,20,20,351,36350,70916,0.3960722670540102,-1.0371084241998365,0.31579274546980385,0.5724193673485216
sbert-default,10,50,10,248,36756,70075,0.3984929497120487,-0.9048858031008001,0.34241430890168995,0.5905373593881091
sbert-default,10,50,25,204,36529,66854,0.37553308840080574,-0.8760492682215889,0.3438762194743056,0.5875504261825754
sbert-default,10,50,50,177,36227,65716,0.38964005626146925,-0.8194754927897097,0.37094582875643173,0.5927380689682842
sbert-default,10,100,1,210,33961,67020,0.38467993537742856,-0.7863876773738102,0.33206167771508144,0.54290857246197
sbert-default,10,100,10,154,36416,64214,0.3786794671001935,-0.7648454743228086,0.33386315355106905,0.5817021846502246
sbert-default,10,100,50,118,35156,61984,0.37059427009630624,-0.6815949380533259,0.3800985509556255,0.5807914706904889
sbert-default,10,100,100,5,100,58355,0.6801785485264977,1.0000889005818412e-12,0.9962221843086597,0.9953454717493094
sbert-default,15,10,10,738,41040,77105,0.405061516958429,-1.357117223966088,0.3407361710878059,0.6697100694654671
sbert-default,15,20,10,425,40655,73822,0.38948114149995305,-1.1428140012701098,0.3566122799484757,0.6663891503173339
sbert-default,15,20,20,312,39708,70262,0.3920079553333176,-1.009897270182187,0.3698568789535556,0.650658015352363
sbert-default,15,50,10,211,38381,67782,0.3800637713464638,-0.8800747802285152,0.3933367898178656,0.6370271111004762
sbert-default,15,50,25,9,100,58595,0.727616329416676,-0.0919236086962056,0.9963344692297508,0.9951245824053452
sbert-default,15,50,50,146,36002,64223,0.38210621322007876,-0.7770904866967818,0.3833267772608277,0.5940880309124634
sbert-default,15,100,1,172,32995,65578,0.3773406559636321,-0.7286518246971623,0.37352567031826994,0.5434149564422983
sbert-default,15,100,10,129,37066,63255,0.37690800031162763,-0.7136802409030123,0.38917924610937543,0.6133331751793071
sbert-default,15,100,50,6,61,58416,0.6533673649498766,-0.02578547703950656,0.9954379847793634,0.9952441256079656
sbert-default,15,100,100,6,100,58442,0.7264933283513031,-0.03857134692625385,0.9958468377829842,0.995299463491688
sbert-default,20,10,10,22,146,58766,0.7144652251625466,-0.28245961156305344,0.997710927876781,0.9952869102111144
sbert-default,20,20,10,15,144,58720,0.612398825771692,-0.207245188599463,0.9976588068637782,0.9952975983292726
sbert-default,20,20,20,14,156,58695,0.6111227711444377,-0.33334841314185765,0.9978189635016628,0.9952664204741237
sbert-default,20,50,10,9,100,58586,0.7183102088593425,-0.09128674302195974,0.9965844137738743,0.9951833896547284
sbert-default,20,50,25,9,100,58572,0.7082232238475599,-0.15984523175700466,0.9966712444317414,0.9951418469333779
sbert-default,20,50,50,7,100,58488,0.6445242693692085,-0.054464285387367216,0.9959144863328596,0.9951244975726888
sbert-default,20,100,1,5,100,58344,0.6626921700302617,1.0000889005818412e-12,0.9959988856774733,0.995309982986511
sbert-default,20,100,10,5,100,58334,0.6917921624549227,1.0000889005818412e-12,0.9963354141121391,0.9953688722803867
sbert-default,20,100,50,5,100,58360,0.7333938433843334,1.0000889005818412e-12,0.9962053563657758,0.9955226995999304
sbert-default,20,100,100,5,100,58351,0.7496653670361018,1.0000889005818412e-12,0.9963545075973872,0.9955053678153722
sbert-lexrank-top1,5,None,None,None,None,None,None,None,None,None
sbert-lexrank-top1,10,None,None,None,None,None,None,None,None,None
sbert-lexrank-top1,15,10,10,995,34462,86683,0.42397175222334355,-1.556736119578779,0.2671808185705559,0.5401845652601994
sbert-lexrank-top1,15,20,10,568,29214,79551,0.4374091585417085,-1.2757136833081275,0.2956434147569882,0.454527447163994
sbert-lexrank-top1,15,20,20,444,27368,74753,0.4412186721375803,-1.1616732338484517,0.29319425061375004,0.42699012848368717
sbert-lexrank-top1,15,50,10,292,27880,71653,0.4004811441231399,-0.9826734163635032,0.2913220538225786,0.4328391445480785
sbert-lexrank-top1,15,50,25,251,26582,69018,0.4277424952943486,-0.9219342542032329,0.2930118750546175,0.4129565165584333
sbert-lexrank-top1,15,50,50,214,26946,67106,0.42853882594212145,-0.8682803848299482,0.29679159731389543,0.41884379628192275
sbert-lexrank-top1,15,100,1,285,29322,70028,0.39544767737237246,-0.9049335107021838,0.2552910052910053,0.4448020392070565
sbert-lexrank-top1,15,100,10,182,27123,64967,0.4004123634068157,-0.7845742721310286,0.29688453287673927,0.42602036494248
sbert-lexrank-top1,15,100,50,141,23809,62831,0.4306696863991604,-0.6744158141894078,0.3048199672667758,0.3868012409445151
sbert-lexrank-top1,15,100,100,127,23599,62299,0.42247674650794914,-0.6445480039237159,0.2981257119188154,0.3797767158276345
sbert-lexrank-top1,20,10,10,905,174548,84182,0.41800621309273367,-1.5138585435718233,0.27524873547885054,0.5471493013532842
sbert-lexrank-top1,20,20,10,582,170249,80322,0.4273667143764396,-1.3243798864334135,0.2741222812125364,0.5304942397326532
sbert-lexrank-top1,20,20,20,390,141916,73242,0.44216074144112316,-1.1416691562515282,0.287742575485151,0.4376621298386282
sbert-lexrank-top1,20,50,10,313,166167,72492,0.4140025057360673,-1.0240783169603218,0.27083823414098646,0.515670013857984
sbert-lexrank-top1,20,50,25,218,130313,67650,0.42523641373002885,-0.9005153066278894,0.28201595358955767,0.40214927167745895
sbert-lexrank-top1,20,50,50,175,119157,65288,0.43317174781387136,-0.8052243900350706,0.2910917051772837,0.37736176615259975
sbert-lexrank-top1,20,100,1,265,151123,69032,0.39444544990186065,-0.9098694935741324,0.2604941199447568,0.46276055880588396
sbert-lexrank-top1,20,100,10,210,158513,66387,0.4025112376741204,-0.8336795252797319,0.2762602161154078,0.4877886843544146
sbert-lexrank-top1,20,100,50,132,126116,62486,0.4200558244989047,-0.6871379757821338,0.2919039939610211,0.3943234492654143
sbert-lexrank-top1,20,100,100,122,125570,62076,0.4350038731601208,-0.6850333859123444,0.29623570653534764,0.3967704210147535
sbert-lexrank-top5,10,10,10,1333,169948,None,None,None,0.40929608792359023,0.5716509481135562
sbert-lexrank-top5,10,20,10,788,163483,87936,0.4688464067857759,-1.4223598878555619,0.40783185840707964,0.5517305787708721
sbert-lexrank-top5,10,20,20,606,151789,81914,0.4775927497398519,-1.3068195499637505,0.40431289640591966,0.5174210954562973
sbert-lexrank-top5,5,10,10,2140,161096,None,None,None,0.36266199143275435,0.5310851474849543
sbert-lexrank-top5,5,20,10,1131,153871,None,None,None,0.379271314509468,0.5138015726094687
sbert-lexrank-top5,5,20,20,836,150101,91329,0.47322784234187265,-1.4139348092227837,0.3737871146234595,0.49975960896391464
sbert-lexrank-top5,5,50,10,498,142758,83125,0.43568426707586067,-1.1902554367498166,0.40223695617666094,0.49503299415225593
sbert-lexrank-top5,5,50,25,433,148144,78955,0.4318503307648888,-1.161214522639346,0.3710577465671829,0.4935358502538071
sbert-lexrank-top5,5,50,50,333,135451,72749,0.4193428077155138,-1.082330671649324,0.3913034404315931,0.47199930557062564
sbert-lexrank-top5,5,100,1,369,124453,74866,0.41632490455947385,-1.0398555768271074,0.4200836730773336,0.46174586814885704
sbert-lexrank-top5,5,100,10,297,134392,70203,0.40862200252221664,-1.0360749495135984,0.41412544075221713,0.48206948487477486
sbert-lexrank-top5,5,100,50,203,111536,65105,0.3968280100378394,-0.8896690394662133,0.41080084213275014,0.4340875974972144
sbert-lexrank-top5,5,100,100,199,131812,64615,0.390290342599088,-0.9350132657145696,0.4284180043342347,0.48559460997969395
sbert-lexrank-top5,10,50,10,387,148930,76951,0.4308638837663787,-1.1331844558217843,0.40820248098329714,0.5127781099337243
sbert-lexrank-top5,10,50,25,358,157413,74387,0.42841182988316084,-1.1646166135087073,0.4039898001236349,0.5348092072660162
sbert-lexrank-top5,10,50,50,297,143972,70675,0.40414655219653456,-1.0911013252991553,0.41613721621094174,0.5044718764877916
sbert-lexrank-top5,10,100,1,295,129452,70399,0.40839654337403464,-1.0328491238390534,0.43161121450680257,0.4779934611137059
sbert-lexrank-top5,10,100,10,230,139647,66246,0.41315654443682964,-0.9957556308133576,0.4477823083964384,0.5130201902361347
sbert-lexrank-top5,10,100,50,183,123162,63942,0.41488113429825435,-0.8964840293871741,0.4402712663494269,0.4723940415868766
sbert-lexrank-top5,10,100,100,161,117952,63037,0.42734664039599135,-0.8447513266819101,0.4187587613100548,0.4519075034927281
