embedding,n_neighbors,min_cluster_size,min_samples,topics_num,not_found,support,c_v,u_mass,c_uci,c_npmi,c_su,c_cu
sbert-default,5,10,10,1896,185944,None,None,None,None,None,0.3431220219598094,0.612756040062805
sbert-default,5,20,10,971,188090,92994,0.39334856878715785,-1.4925285138127469,-3.1778438462652856,-0.03889169376897419,0.33383769243701517,0.6153957174346594
sbert-default,5,20,20,652,188321,82498,0.39115328687337636,-1.3148604954535683,-3.2777639888285752,-0.03883828218448625,0.3140794223826715,0.6048638705244154
sbert-default,5,50,10,374,182551,76900,0.37952239024894757,-1.0036179985489841,-3.5216962337246107,-0.04325302206111745,0.3087849084520067,0.5819793205317577
sbert-default,5,50,25,282,177047,71113,0.39695291813561595,-0.9255211582640142,-3.2542106776335817,-0.029265741441149986,0.32886209738675115,0.5656062573814657
sbert-default,5,50,50,222,182988,68153,0.40743658481627604,-0.8570882249297397,-3.273759998527372,-0.027914864703666744,0.33130563798219587,0.5868389286906082
sbert-default,5,100,1,300,170082,72336,0.3765986961727815,-0.8314971310135619,-3.64349946194161,-0.04807609918683978,0.3129351155666945,0.5436226201829677
sbert-default,5,100,10,197,181430,66161,0.37756964629383705,-0.797834564021845,-3.6452943323445544,-0.044321878104769584,0.3004313455631829,0.5704279636828794
sbert-default,5,100,50,154,179672,63831,0.3765048962062227,-0.7364120693347128,-3.674882062782145,-0.04571843317162652,0.3271880189433545,0.5728764617334487
sbert-default,5,100,100,119,172452,62166,0.3767112623248437,-0.6350959135378766,-3.857729974982305,-0.05000314469295273,0.3128163995213738,0.5404289329958705
sbert-default,5,200,1,6,536,None,None,None,None,None,0.9952887103411239,0.9938285141442937
sbert-default,5,200,20,6,483,None,None,None,None,None,0.9950314327255991,0.9937795878585353
sbert-default,5,200,100,81,170251,59382,0.3930757278510093,-0.4848399387665966,-3.8408965099988457,-0.050755710994244495,0.3282955712492551,0.5379925746361813
sbert-default,5,200,200,5,500,None,None,None,None,None,0.99677953400833,0.9951741246794638
sbert-default,10,10,10,922,193658,81462,0.41260140816779933,-1.4389081835643054,-3.0754920325009905,-0.03367303558054708,0.36275771919748073,0.6347148659826907
sbert-default,10,20,10,503,187828,76326,0.40651180630180545,-1.1866589838452146,-3.1433845970338083,-0.028572722619524524,0.34613099398853625,0.6066053631678849
sbert-default,10,20,20,351,181748,70916,0.3960722670540102,-1.0371084241998365,-3.1321768001961763,-0.02286420704879488,0.31579274546980385,0.5724193673485216
sbert-default,10,50,10,248,183782,70075,0.3984929497120487,-0.9048858031008001,-3.2159055638749217,-0.024964137422418504,0.34241430890168995,0.5905373593881091
sbert-default,10,50,25,204,182645,66854,0.37553308840080574,-0.8760492682215889,-3.432890367385896,-0.03375205534763873,0.3438762194743056,0.5875504261825754
sbert-default,10,50,50,177,181133,65716,0.38964005626146925,-0.8194754927897097,-3.312492880575955,-0.02465519484539489,0.37094582875643173,0.5927380689682842
sbert-default,10,100,1,210,169804,67020,0.38467993537742856,-0.7863876773738102,-3.4637845524346034,-0.03777380950408817,0.33206167771508144,0.54290857246197
sbert-default,10,100,10,154,182078,64214,0.3786794671001935,-0.7648454743228086,-3.6474200765711235,-0.04305346905482118,0.33386315355106905,0.5817021846502246
sbert-default,10,100,50,118,175781,61984,0.37059427009630624,-0.6815949380533259,-3.5385167646454088,-0.033412021742828354,0.3800985509556255,0.5807914706904889
sbert-default,10,100,100,5,262,None,None,None,None,None,0.9962221843086597,0.9953454717493094
sbert-default,10,200,1,5,208,None,None,None,None,None,0.9960384045004839,0.9953454879410568
sbert-default,10,200,20,5,71,None,None,None,None,None,0.9955428285119797,0.9953178048644737
sbert-default,10,200,100,5,262,None,None,None,None,None,0.9962221843086597,0.9953454717493094
sbert-default,10,200,200,5,289,None,None,None,None,None,0.9963609391214715,0.995390470624252
sbert-default,15,10,10,738,205198,77105,0.405061516958429,-1.357117223966088,-3.218400032515245,-0.037614973164597665,0.3407361710878059,0.6697100694654671
sbert-default,15,20,10,425,203276,73822,0.38948114149995305,-1.1428140012701098,-3.3546613720634477,-0.03654856626266762,0.3566122799484757,0.6663891503173339
sbert-default,15,20,20,312,198540,70262,0.3920079553333176,-1.009897270182187,-3.3381444611605406,-0.03175340231300321,0.3698568789535556,0.650658015352363
sbert-default,15,50,10,211,191905,67782,0.3800637713464638,-0.8800747802285152,-3.500820017180183,-0.03817651951646454,0.3933367898178656,0.6370271111004762
sbert-default,15,50,25,9,365,None,None,None,None,None,0.9963344692297508,0.9951245824053452
sbert-default,15,50,50,146,180010,64223,0.38210621322007876,-0.7770904866967818,-3.4040313635179955,-0.025966787219501734,0.3833267772608277,0.5940880309124634
sbert-default,15,100,1,172,164973,65578,0.3773406559636321,-0.7286518246971623,-3.5533347143575345,-0.04061102377695089,0.37352567031826994,0.5434149564422983
sbert-default,15,100,10,129,185329,63255,0.37690800031162763,-0.7136802409030123,-3.3954014547861564,-0.031163343758144522,0.38917924610937543,0.6133331751793071
sbert-default,15,100,50,6,61,None,None,None,None,None,0.9954379847793634,0.9952441256079656
sbert-default,15,100,100,6,166,None,None,None,None,None,0.9958468377829842,0.995299463491688
sbert-default,15,200,1,5,258,None,None,None,None,None,0.9959779641185648,0.9952822475428372
sbert-default,15,200,20,5,204,None,None,None,None,None,0.9957768741209074,0.9952614714487998
sbert-default,15,200,100,5,166,None,None,None,None,None,0.9960285415941524,0.9954811575750618
sbert-default,15,200,200,5,182,None,None,None,None,None,0.9960701456378268,0.9954707844726525
